name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
CTCAssignment;173;;MAX_TIME_EXCEEDED_LEARN;hypothesis13;86794;455087;13;13014476;75185742;121;38;DIFFERENT;27418;3572288;[106, 342, 3346, 101, 536, 108, 438, 62, 1478, 1305, 2827, 4554, 12215];[34, 1111, 10991, 98, 155, 18558, 12476, 33117, 236288, 533870, 782971, 955427, 987192];[1, 1, 11, 1, 3, 1, 3, 1, 2, 1, 4, 5, 4];[173, 518, 11241, 525, 2597, 522, 2601, 528, 8250, 7557, 14112, 18930, 19240];[173, 1209, 40301, 1925, 15228, 2435, 9024, 1441, 34933, 32329, 71322, 116813, 127954];[175, 4504, 58816, 561, 705, 121944, 87796, 218861, 1349521, 3297829, 4169859, 3703905];[175, 15414, 271430, 2224, 3085, 661231, 498471, 1252997, 7648777, 18243726, 23894943, 22693269]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
ChuckPosition;9;;finished;learning_result;1120;6852;9;11666;66592;17;17;SAME;1729;5910;[756, 43, 22, 129, 111, 137, 316, 85, 130];[34, 123, 186, 156, 635, 1324, 2628, 396, 428];[1, 1, 1, 2, 2, 2, 3, 1, 4];[9, 26, 20, 105, 87, 176, 307, 178, 212];[9, 61, 69, 424, 383, 970, 2165, 1190, 1581];[11, 44, 169, 222, 1369, 2661, 5587, 805, 798];[11, 132, 610, 866, 6484, 14224, 35008, 4462, 4795]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
ClosingRequest;65;;MAX_TIME_EXCEEDED_LEARN;hypothesis9;7696;38023;9;704759;3937676;27;12;DIFFERENT;3949;3595848;[757, 211, 208, 596, 872, 233, 287, 335, 450];[50, 134, 511, 1490, 27181, 4107, 45529, 69232, 3447614];[1, 1, 1, 2, 3, 1, 1, 1, 1];[65, 194, 323, 971, 1297, 1028, 1150, 1275, 1393];[65, 453, 1036, 4277, 6674, 4824, 5821, 7023, 7850];[67, 270, 1567, 3932, 126809, 23211, 238375, 310528];[67, 811, 5867, 16297, 679447, 122828, 1322926, 1789433]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
ConditioningIdleBusyMonitor;18;;MAX_TIME_EXCEEDED_LEARN;hypothesis7;1325;6316;7;10778;45413;15;9;DIFFERENT;1581;3598223;[760, 127, 88, 70, 58, 318, 160];[31, 105, 78, 895, 529, 1421, 3595164];[1, 1, 1, 1, 1, 3, 1];[18, 53, 88, 120, 157, 607, 282];[18, 124, 284, 345, 546, 3423, 1576];[20, 148, 57, 3940, 2177, 4436];[20, 478, 147, 14536, 8305, 21927]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
DerivedLogic;146;;finished;learning_result;2327;7565;4;121985;472697;4;4;SAME;1505;16514;[773, 370, 205, 157];[29, 3822, 12539, 124];[1, 1, 1, 1];[146, 437, 726, 1018];[146, 1020, 2323, 4076];[148, 22416, 97672, 1749];[148, 78160, 389152, 5237]
